Order ID,Product Name,Category,Quantity,Price,Discount,Customer City,Delivery Time (mins),Order Date
1033,Paneer,Dairy,2,407.67,20%,Pune,58,2011-09-02
1034,Croissant,Bakery,5,121.54,0%,Pune,28,2011-12-12
1035,Milk,Dairy,2,88.56,20%,Delhi,12,2011-07-04
1036,Coca Cola,Beverages,4,493.03,20%,Pune,54,2011-10-09
1037,Cheese,Dairy,5,211.98,0%,Delhi,41,2011-08-06
1038,Bun,Bakery,1,248.04,20%,Delhi,34,2011-01-19
1039,Bread,Bakery,5,138.78,0%,Pune,18,2011-04-01
1040,Pepsi,Beverages,1,114.39,0%,Kolkata,40,2011-04-08
1041,Bread,Bakery,4,226.42,10%,Pune,41,2011-05-10
1042,Bun,Bakery,3,352.44,5%,Kolkata,24,2011-01-20
1043,Water Bottle,Beverages,1,31.89,15%,Delhi,16,2011-05-23
1044,Popcorn,Snacks,4,35.83,0%,Pune,25,2011-10-28
1045,Coca Cola,Beverages,4,118.98,15%,Delhi,14,2011-04-20
1046,Dishwash,Household,3,54.72,5%,Kolkata,36,2011-10-26
1047,Banana,Fruits & Vegetables,5,275.04,5%,Kolkata,43,2011-12-05
1048,Biscuits,Snacks,1,139.99,0%,Chennai,41,2011-01-15
1049,Curd,Dairy,4,212.85,10%,Delhi,29,2011-01-15
1050,Soap,Personal Care,1,464.64,0%,Hyderabad,19,2011-06-16
1051,Cheese,Dairy,1,85.24,0%,Chennai,43,2011-04-28
1052,Dishwash,Household,5,161.66,20%,Chennai,48,2011-10-11
1053,Banana,Fruits & Vegetables,2,241.85,15%,Chennai,19,2011-01-21
1054,Popcorn,Snacks,4,50.51,20%,Delhi,25,2011-01-14
1055,Toothpaste,Personal Care,4,372.94,20%,Delhi,12,2011-05-20
1056,Banana,Fruits & Vegetables,3,381.68,0%,Delhi,16,2011-11-18
1057,Toothpaste,Personal Care,5,89.58,5%,Kolkata,18,2011-07-07
1058,Dishwash,Household,5,475.56,10%,Hyderabad,38,2011-01-23
1059,Banana,Fruits & Vegetables,3,245.26,20%,Kolkata,55,2011-09-22
1060,Apple,Fruits & Vegetables,4,103.89,5%,Bangalore,31,2011-08-27
1061,Biscuits,Snacks,5,71.66,0%,Hyderabad,55,2011-06-27
1062,Biscuits,Snacks,3,463.87,5%,Kolkata,34,2011-08-13
1063,Water Bottle,Beverages,4,443.58,15%,Pune,21,2011-08-10
1064,Popcorn,Snacks,4,371.53,5%,Pune,54,2011-07-25
1065,Toothpaste,Personal Care,4,133.47,5%,Bangalore,13,2011-05-17
1066,Bun,Bakery,3,189.27,5%,Ahmedabad,22,2011-07-21
1067,Bun,Bakery,2,36.29,10%,Ahmedabad,19,2011-05-18
1068,Soap,Personal Care,4,102.91,0%,Delhi,24,2011-07-13
1069,Juice,Beverages,5,473.62,15%,Pune,37,2011-07-27
1070,Diapers,Baby Care,3,96.71,15%,Ahmedabad,48,2011-09-27
1071,Baby Lotion,Baby Care,2,147.86,10%,Pune,46,2011-08-03
1072,Soap,Personal Care,4,430.84,15%,Bangalore,36,2011-06-27
1073,Diapers,Baby Care,2,335.41,20%,Kolkata,28,2011-07-17
1074,Juice,Beverages,1,151.84,0%,Hyderabad,34,2011-05-12
1075,Apple,Fruits & Vegetables,4,352.14,0%,Mumbai,10,2011-07-20
1076,Shampoo,Personal Care,3,147.29,20%,Bangalore,46,2011-12-20
1077,Banana,Fruits & Vegetables,2,45.15,5%,Chennai,41,2011-10-20
1078,Toilet Cleaner,Household,4,54.61,15%,Delhi,21,2011-06-25
1079,Dishwash,Household,2,90.12,5%,Bangalore,54,2011-02-05
1080,Toilet Cleaner,Household,2,33.15,20%,Ahmedabad,29,2011-02-08
1081,Bread,Bakery,3,333.04,5%,Kolkata,46,2011-03-25
1082,Toothpaste,Personal Care,5,289.12,5%,Chennai,44,2011-11-24
1083,Dishwash,Household,1,342.98,5%,Ahmedabad,52,2011-04-09
1084,Dishwash,Household,4,161.55,0%,Mumbai,56,2011-09-22
1085,Water Bottle,Beverages,2,183.26,10%,Bangalore,41,2011-01-07
1086,Kurkure,Snacks,5,67.63,10%,Ahmedabad,16,2011-10-26
1087,Croissant,Bakery,1,410.05,10%,Pune,19,2011-06-04
1088,Bread,Bakery,2,64.8,20%,Ahmedabad,11,2011-06-01
1089,Croissant,Bakery,3,207.14,5%,Chennai,48,2011-10-02
1090,Diapers,Baby Care,1,249.11,20%,Mumbai,26,2011-11-28
1091,Toilet Cleaner,Household,5,242.22,0%,Mumbai,35,2011-01-09
1092,Diapers,Baby Care,1,288.89,10%,Mumbai,58,2011-10-25
1093,Bread,Bakery,3,260.34,10%,Pune,37,2011-08-17
1094,Dishwash,Household,1,112.9,15%,Pune,14,2011-12-05
1095,Popcorn,Snacks,2,113.6,15%,Pune,44,2011-02-01
1096,Milk,Dairy,4,290.2,5%,Mumbai,13,2011-02-02
1097,Baby Lotion,Baby Care,1,109.25,15%,Pune,23,2011-10-25
1098,Curd,Dairy,2,269.94,15%,Hyderabad,48,2011-10-17
1099,Bread,Bakery,1,170.89,5%,Chennai,36,2011-09-06
1100,Paneer,Dairy,1,241.21,10%,Mumbai,40,2011-01-09
1101,Popcorn,Snacks,2,420.25,15%,Ahmedabad,22,2011-04-09
1102,Paneer,Dairy,1,281.36,0%,Chennai,42,2011-08-12
1103,Pepsi,Beverages,3,269.6,20%,Kolkata,35,2011-04-17
1104,Bun,Bakery,3,226.3,10%,Hyderabad,19,2011-04-06
1105,Curd,Dairy,4,356.86,10%,Chennai,47,2011-05-20
1106,Shampoo,Personal Care,5,57.09,5%,Pune,36,2011-08-10
1107,Milk,Dairy,3,97.93,10%,Mumbai,33,2011-08-03
1108,Juice,Beverages,4,127.55,5%,Hyderabad,42,2011-08-09
1109,Croissant,Bakery,3,379.59,15%,Delhi,44,2011-12-08
1110,Soap,Personal Care,2,137.09,0%,Delhi,23,2011-03-11
1111,Diapers,Baby Care,3,71.26,20%,Pune,20,2011-02-28
1112,Cheese,Dairy,4,284.57,5%,Ahmedabad,23,2011-12-21
1113,Croissant,Bakery,5,394.89,10%,Ahmedabad,30,2011-03-28
1114,Toilet Cleaner,Household,4,221.65,15%,Ahmedabad,57,2011-08-12
1115,Diapers,Baby Care,5,477.23,10%,Hyderabad,11,2011-05-28
1116,Pepsi,Beverages,2,347.87,15%,Hyderabad,12,2011-07-02
1117,Bread,Bakery,2,374.28,15%,Kolkata,28,2011-03-01
1118,Biscuits,Snacks,5,69.54,5%,Ahmedabad,56,2011-11-11
1119,Detergent,Household,2,191.62,0%,Mumbai,41,2011-07-26
1120,Water Bottle,Beverages,4,172.76,0%,Kolkata,34,2011-10-01
1121,Dishwash,Household,3,53.92,5%,Pune,43,2011-11-19
1122,Biscuits,Snacks,4,228.62,15%,Chennai,19,2011-02-12
1123,Soap,Personal Care,5,280.79,15%,Hyderabad,18,2011-04-08
1124,Pepsi,Beverages,3,246.17,10%,Bangalore,21,2011-05-02
1125,Toilet Cleaner,Household,4,30.42,15%,Kolkata,30,2011-07-08
1126,Toilet Cleaner,Household,1,383.85,10%,Mumbai,34,2011-03-09
1127,Croissant,Bakery,4,279.59,0%,Ahmedabad,54,2011-09-23
1128,Shampoo,Personal Care,4,219.98,20%,Ahmedabad,18,2011-03-19
1129,Lays Chips,Snacks,1,457.81,0%,Hyderabad,47,2011-12-09
1130,Shampoo,Personal Care,2,454.45,15%,Pune,25,2011-07-11
1131,Soap,Personal Care,4,51.39,5%,Mumbai,30,2011-03-21
1132,Paneer,Dairy,4,284.73,5%,Kolkata,30,2011-06-27
1133,Potato,Fruits & Vegetables,3,264.65,15%,Kolkata,60,2011-08-12
1134,Juice,Beverages,4,248.94,15%,Delhi,58,2011-12-15
1135,Lays Chips,Snacks,5,416.51,15%,Kolkata,37,2011-11-10
1136,Banana,Fruits & Vegetables,2,187.04,15%,Hyderabad,34,2011-02-20
1137,Bun,Bakery,1,172.47,10%,Hyderabad,13,2011-07-02
1138,Water Bottle,Beverages,1,82.25,0%,Mumbai,42,2011-09-02
1139,Soap,Personal Care,5,429.87,10%,Hyderabad,15,2011-06-27
1140,Paneer,Dairy,5,442.02,5%,Mumbai,56,2011-01-23
1141,Toothpaste,Personal Care,4,95.91,0%,Mumbai,54,2011-10-28
1142,Milk,Dairy,5,305.08,10%,Bangalore,37,2011-04-15
1143,Bun,Bakery,4,421.1,0%,Pune,41,2011-01-19
1144,Tomato,Fruits & Vegetables,4,331.12,15%,Bangalore,37,2011-12-01
1145,Detergent,Household,4,169.71,0%,Mumbai,21,2011-03-17
1146,Dishwash,Household,5,292.5,5%,Delhi,53,2011-03-08
1147,Toilet Cleaner,Household,1,108.05,0%,Mumbai,38,2011-06-12
1148,Baby Lotion,Baby Care,1,294.75,0%,Delhi,26,2011-10-05
1149,Croissant,Bakery,2,339.1,20%,Mumbai,18,2011-12-13
1150,Croissant,Bakery,5,255.87,5%,Kolkata,29,2011-06-19
1151,Kurkure,Snacks,5,394.93,5%,Ahmedabad,27,2011-07-12
1152,Apple,Fruits & Vegetables,5,281.01,0%,Mumbai,12,2011-06-26
1153,Cheese,Dairy,1,243.86,5%,Delhi,41,2011-03-01
1154,Potato,Fruits & Vegetables,4,452.97,0%,Kolkata,59,2011-02-12
1155,Water Bottle,Beverages,2,141.36,0%,Kolkata,53,2011-04-21
1156,Toilet Cleaner,Household,1,360.49,5%,Bangalore,28,2011-08-15
1157,Tomato,Fruits & Vegetables,2,473.64,0%,Mumbai,56,2011-02-04
1158,Biscuits,Snacks,5,379.62,20%,Mumbai,34,2011-02-10
1159,Lays Chips,Snacks,4,152.97,0%,Pune,36,2011-01-16
1160,Kurkure,Snacks,3,209.99,10%,Delhi,60,2011-12-26
1161,Toilet Cleaner,Household,5,289.38,15%,Bangalore,53,2011-10-22
1162,Water Bottle,Beverages,1,379.47,5%,Chennai,25,2011-11-25
1163,Baby Lotion,Baby Care,2,55.25,5%,Hyderabad,10,2011-12-08
1164,Diapers,Baby Care,5,112.0,10%,Delhi,53,2011-07-07
1165,Dishwash,Household,5,442.33,20%,Ahmedabad,24,2011-10-28
1166,Baby Lotion,Baby Care,5,342.8,0%,Ahmedabad,42,2011-07-02
1167,Dishwash,Household,4,270.5,5%,Bangalore,44,2011-03-01
1168,Bread,Bakery,1,429.88,5%,Chennai,24,2011-02-10
1169,Lays Chips,Snacks,1,30.22,20%,Kolkata,53,2011-01-04
1170,Toilet Cleaner,Household,3,46.64,20%,Pune,44,2011-04-14
1171,Toilet Cleaner,Household,4,144.72,0%,Bangalore,41,2011-09-07
1172,Dishwash,Household,2,485.6,20%,Hyderabad,15,2011-03-13
1173,Diapers,Baby Care,1,384.46,5%,Mumbai,58,2011-06-12
1174,Onion,Fruits & Vegetables,4,160.12,0%,Pune,46,2011-12-10
1175,Toilet Cleaner,Household,2,311.05,5%,Ahmedabad,10,2011-04-06
1176,Bun,Bakery,5,326.35,10%,Chennai,30,2011-10-07
1177,Dishwash,Household,3,185.66,0%,Bangalore,47,2011-07-02
1178,Toothpaste,Personal Care,2,375.82,0%,Hyderabad,50,2011-07-24
1179,Dishwash,Household,3,211.46,10%,Hyderabad,33,2011-08-25
1180,Bun,Bakery,5,342.84,0%,Delhi,41,2011-09-04
1181,Onion,Fruits & Vegetables,1,389.85,0%,Pune,15,2011-12-04
1182,Onion,Fruits & Vegetables,5,441.81,20%,Hyderabad,57,2011-10-02
1183,Cheese,Dairy,5,154.14,5%,Delhi,25,2011-12-23
1184,Baby Lotion,Baby Care,3,279.9,10%,Pune,51,2011-06-18
1185,Paneer,Dairy,5,58.4,15%,Pune,42,2011-12-22
1186,Baby Lotion,Baby Care,5,401.3,20%,Delhi,55,2011-10-03
1187,Detergent,Household,2,465.77,0%,Chennai,41,2011-09-01
1188,Detergent,Household,1,256.44,10%,Kolkata,30,2011-12-18
1189,Pepsi,Beverages,1,467.27,10%,Ahmedabad,50,2011-09-10
1190,Coca Cola,Beverages,4,320.92,10%,Bangalore,58,2011-03-07
1191,Bun,Bakery,3,267.28,15%,Hyderabad,17,2011-04-12
1192,Toilet Cleaner,Household,4,307.91,10%,Delhi,54,2011-12-27
1193,Tomato,Fruits & Vegetables,2,202.99,0%,Bangalore,20,2011-02-23
1194,Apple,Fruits & Vegetables,2,242.05,10%,Kolkata,27,2011-04-07
1195,Onion,Fruits & Vegetables,4,288.42,5%,Pune,39,2011-12-13
1196,Baby Lotion,Baby Care,4,296.28,5%,Delhi,13,2011-11-13
1197,Pepsi,Beverages,3,132.13,20%,Chennai,35,2011-06-27
1198,Popcorn,Snacks,1,167.83,5%,Pune,60,2011-10-02
1199,Milk,Dairy,2,281.66,10%,Delhi,49,2011-02-17
1200,Bun,Bakery,3,325.34,20%,Kolkata,43,2011-02-01
1201,Juice,Beverages,4,66.27,15%,Bangalore,46,2011-06-11
1202,Croissant,Bakery,5,41.5,15%,Kolkata,24,2011-03-20
1203,Coca Cola,Beverages,4,30.17,0%,Bangalore,14,2011-05-16
1204,Dishwash,Household,4,114.75,0%,Ahmedabad,27,2011-03-12
1205,Baby Lotion,Baby Care,3,79.13,15%,Bangalore,19,2011-03-26
1206,Detergent,Household,4,282.26,0%,Pune,36,2011-11-23
1207,Diapers,Baby Care,4,204.3,0%,Pune,16,2011-06-19
1208,Toilet Cleaner,Household,4,319.84,0%,Chennai,32,2011-10-18
1209,Baby Lotion,Baby Care,3,112.86,10%,Pune,20,2011-03-01
1210,Paneer,Dairy,3,220.8,10%,Ahmedabad,20,2011-12-10
1211,Biscuits,Snacks,1,170.95,20%,Kolkata,57,2011-10-11
1212,Banana,Fruits & Vegetables,3,328.56,5%,Bangalore,31,2011-10-24
1213,Soap,Personal Care,4,180.12,15%,Delhi,10,2011-01-18
1214,Apple,Fruits & Vegetables,4,88.95,5%,Delhi,11,2011-09-25
1215,Coca Cola,Beverages,4,234.46,20%,Mumbai,16,2011-06-13
1216,Dishwash,Household,1,369.62,5%,Ahmedabad,60,2011-04-01
1217,Baby Lotion,Baby Care,1,453.78,5%,Bangalore,22,2011-01-04
1218,Water Bottle,Beverages,5,289.41,10%,Delhi,26,2011-09-20
1219,Coca Cola,Beverages,2,371.42,0%,Kolkata,38,2011-06-08
1220,Onion,Fruits & Vegetables,3,177.65,5%,Chennai,17,2011-07-23
1221,Apple,Fruits & Vegetables,1,129.22,5%,Mumbai,11,2011-10-02
1222,Baby Lotion,Baby Care,3,138.92,20%,Ahmedabad,60,2011-09-08
1223,Croissant,Bakery,3,280.34,10%,Hyderabad,24,2011-01-06
1224,Toothpaste,Personal Care,4,172.44,20%,Hyderabad,32,2011-06-03
1225,Croissant,Bakery,2,166.21,0%,Ahmedabad,56,2011-01-26
1226,Popcorn,Snacks,3,169.47,0%,Pune,22,2011-06-23
1227,Bread,Bakery,3,404.95,10%,Delhi,42,2011-11-13
1228,Dishwash,Household,3,373.18,10%,Bangalore,32,2011-10-19
1229,Apple,Fruits & Vegetables,1,117.35,0%,Mumbai,42,2011-01-13
1230,Potato,Fruits & Vegetables,5,400.41,15%,Hyderabad,19,2011-10-07
1231,Toothpaste,Personal Care,3,274.14,0%,Kolkata,29,2011-07-15
1232,Baby Lotion,Baby Care,4,411.24,15%,Mumbai,13,2011-04-08
1233,Juice,Beverages,2,382.79,20%,Bangalore,40,2011-04-08
1234,Toothpaste,Personal Care,1,178.42,15%,Pune,32,2011-01-18
1235,Cheese,Dairy,3,417.21,5%,Ahmedabad,32,2011-08-26
1236,Croissant,Bakery,5,319.04,20%,Mumbai,43,2011-03-20
1237,Croissant,Bakery,5,197.88,0%,Delhi,51,2011-12-03
1238,Baby Lotion,Baby Care,3,149.6,5%,Delhi,29,2011-04-24
1239,Bun,Bakery,1,395.38,20%,Mumbai,57,2011-07-15
1240,Kurkure,Snacks,5,191.35,0%,Kolkata,48,2011-02-25
1241,Dishwash,Household,4,257.81,15%,Pune,20,2011-10-18
1242,Toothpaste,Personal Care,3,378.68,10%,Bangalore,30,2011-01-09
1243,Curd,Dairy,4,292.98,20%,Bangalore,22,2011-02-08
1244,Lays Chips,Snacks,1,227.41,5%,Hyderabad,60,2011-03-10
1245,Water Bottle,Beverages,4,303.34,10%,Bangalore,47,2011-05-09
1246,Croissant,Bakery,3,205.29,5%,Delhi,50,2011-04-20
1247,Water Bottle,Beverages,2,381.11,10%,Hyderabad,51,2011-05-16
1248,Kurkure,Snacks,5,115.0,5%,Ahmedabad,22,2011-11-01
1249,Croissant,Bakery,2,411.35,5%,Hyderabad,34,2011-03-21
1250,Toilet Cleaner,Household,4,285.59,0%,Kolkata,47,2012-05-15
1251,Dishwash,Household,4,164.44,20%,Ahmedabad,49,2012-02-02
1252,Cheese,Dairy,4,303.34,15%,Bangalore,44,2012-08-09
1253,Biscuits,Snacks,3,322.98,15%,Ahmedabad,52,2012-09-17
1254,Bun,Bakery,4,158.18,15%,Mumbai,26,2012-03-09
1255,Lays Chips,Snacks,3,406.76,15%,Ahmedabad,30,2012-04-09
1256,Shampoo,Personal Care,2,347.75,15%,Ahmedabad,54,2012-01-03
1257,Pepsi,Beverages,3,86.33,0%,Chennai,30,2012-04-18
1258,Shampoo,Personal Care,1,493.02,10%,Delhi,38,2012-11-10
1259,Milk,Dairy,1,149.91,0%,Chennai,11,2012-12-12
1260,Detergent,Household,3,413.56,20%,Kolkata,28,2012-05-12
1261,Pepsi,Beverages,4,440.79,10%,Bangalore,53,2012-09-20
1262,Banana,Fruits & Vegetables,3,286.57,5%,Chennai,10,2012-04-08
1263,Baby Lotion,Baby Care,3,345.87,10%,Kolkata,53,2012-12-14
1264,Toothpaste,Personal Care,1,262.47,5%,Bangalore,22,2012-11-12
1265,Diapers,Baby Care,3,242.89,10%,Pune,19,2012-07-18
1266,Biscuits,Snacks,4,104.88,5%,Delhi,46,2012-05-14
1267,Soap,Personal Care,2,424.3,0%,Pune,24,2012-10-15
1268,Paneer,Dairy,4,492.18,10%,Ahmedabad,43,2012-10-04
1269,Lays Chips,Snacks,3,132.85,5%,Delhi,20,2012-06-19
1270,Popcorn,Snacks,3,224.75,15%,Kolkata,59,2012-09-03
1271,Diapers,Baby Care,2,130.72,5%,Kolkata,45,2012-05-16
1272,Pepsi,Beverages,4,76.91,10%,Pune,22,2012-09-05
1273,Cheese,Dairy,5,353.73,20%,Mumbai,47,2012-09-20
1274,Detergent,Household,4,499.16,0%,Bangalore,58,2012-01-26
1275,Cheese,Dairy,4,54.07,10%,Hyderabad,16,2012-06-04
1276,Diapers,Baby Care,3,201.19,5%,Mumbai,30,2012-01-15
1277,Soap,Personal Care,1,462.7,20%,Ahmedabad,20,2012-01-05
1278,Milk,Dairy,2,262.88,15%,Bangalore,16,2012-12-01
1279,Juice,Beverages,1,268.12,10%,Delhi,11,2012-10-01
1280,Water Bottle,Beverages,2,175.83,10%,Kolkata,26,2012-11-24
1281,Coca Cola,Beverages,2,93.77,5%,Mumbai,26,2012-12-15
1282,Croissant,Bakery,4,494.87,0%,Mumbai,58,2012-06-06
1283,Croissant,Bakery,2,308.87,15%,Ahmedabad,38,2012-04-15
1284,Soap,Personal Care,4,301.03,0%,Ahmedabad,31,2012-09-24
1285,Curd,Dairy,1,321.95,15%,Pune,57,2012-12-21
1286,Diapers,Baby Care,2,85.03,15%,Kolkata,40,2012-05-09
1287,Shampoo,Personal Care,4,177.38,15%,Hyderabad,25,2012-04-12
1288,Juice,Beverages,1,279.78,5%,Pune,54,2012-03-17
1289,Soap,Personal Care,3,51.79,20%,Chennai,20,2012-01-02
1290,Paneer,Dairy,2,336.79,20%,Mumbai,41,2012-08-19
1291,Banana,Fruits & Vegetables,4,340.34,0%,Kolkata,16,2012-01-19
1292,Soap,Personal Care,1,338.89,5%,Ahmedabad,40,2012-10-20
1293,Kurkure,Snacks,2,394.15,10%,Kolkata,44,2012-03-20
1294,Baby Lotion,Baby Care,4,493.54,10%,Ahmedabad,48,2012-06-08
1295,Dishwash,Household,4,464.61,20%,Bangalore,49,2012-01-16
1296,Toothpaste,Personal Care,1,366.94,20%,Delhi,13,2012-08-17
1297,Shampoo,Personal Care,3,307.43,20%,Chennai,58,2012-03-04
1298,Baby Lotion,Baby Care,3,283.93,20%,Mumbai,56,2012-03-10
1299,Croissant,Bakery,4,307.41,10%,Kolkata,28,2012-11-13
1300,Popcorn,Snacks,3,56.63,15%,Hyderabad,25,2012-12-18
1301,Baby Lotion,Baby Care,2,233.64,5%,Mumbai,53,2012-02-07
1302,Toilet Cleaner,Household,3,253.33,20%,Kolkata,41,2012-11-02
1303,Diapers,Baby Care,5,49.37,0%,Delhi,17,2012-02-08
1304,Potato,Fruits & Vegetables,1,216.03,15%,Bangalore,53,2012-04-09
1305,Croissant,Bakery,3,189.51,0%,Bangalore,55,2012-12-25
1306,Croissant,Bakery,4,213.46,0%,Delhi,53,2012-08-26
1307,Water Bottle,Beverages,1,151.4,15%,Chennai,32,2012-09-24
1308,Bread,Bakery,4,356.24,5%,Hyderabad,32,2012-09-20
1309,Milk,Dairy,2,208.17,20%,Kolkata,46,2012-11-18
1310,Detergent,Household,5,218.71,15%,Ahmedabad,26,2012-08-25
1311,Paneer,Dairy,5,412.94,5%,Hyderabad,40,2012-08-18
1312,Shampoo,Personal Care,2,470.02,20%,Mumbai,31,2012-11-07
1313,Shampoo,Personal Care,1,427.77,0%,Bangalore,35,2012-07-28
1314,Paneer,Dairy,4,499.51,15%,Kolkata,30,2012-04-18
1315,Bread,Bakery,4,294.36,10%,Hyderabad,10,2012-05-07
1316,Banana,Fruits & Vegetables,1,422.72,10%,Bangalore,16,2012-10-28
1317,Toilet Cleaner,Household,2,338.83,15%,Delhi,40,2012-01-05
1318,Diapers,Baby Care,5,362.63,5%,Hyderabad,16,2012-10-04
1319,Curd,Dairy,2,120.01,20%,Bangalore,52,2012-10-07
1320,Banana,Fruits & Vegetables,4,333.03,20%,Ahmedabad,17,2012-03-25
1321,Pepsi,Beverages,5,362.91,15%,Ahmedabad,56,2012-09-25
1322,Croissant,Bakery,3,342.16,20%,Hyderabad,56,2012-12-05
1323,Pepsi,Beverages,1,314.35,5%,Mumbai,57,2012-12-08
1324,Baby Lotion,Baby Care,2,233.56,15%,Chennai,30,2012-08-19
1325,Juice,Beverages,4,86.74,15%,Bangalore,42,2012-01-01
1326,Toothpaste,Personal Care,2,156.21,10%,Mumbai,50,2012-06-06
1327,Onion,Fruits & Vegetables,2,355.37,10%,Mumbai,12,2012-04-19
1328,Onion,Fruits & Vegetables,4,229.26,10%,Bangalore,30,2012-05-28
1329,Lays Chips,Snacks,4,255.4,10%,Pune,36,2012-11-15
1330,Dishwash,Household,5,40.65,5%,Mumbai,20,2012-04-06
1331,Dishwash,Household,3,246.0,20%,Hyderabad,26,2012-02-27
1332,Baby Lotion,Baby Care,3,182.43,20%,Bangalore,45,2012-08-14
1333,Banana,Fruits & Vegetables,3,275.41,20%,Delhi,26,2012-11-15
1334,Croissant,Bakery,4,185.16,10%,Pune,36,2012-02-23
1335,Popcorn,Snacks,3,129.87,5%,Hyderabad,19,2012-01-05
1336,Bun,Bakery,4,326.09,10%,Delhi,36,2012-06-05
1337,Popcorn,Snacks,4,208.13,0%,Chennai,24,2012-06-03
1338,Diapers,Baby Care,5,117.81,5%,Chennai,60,2012-11-19
1339,Toothpaste,Personal Care,5,78.61,15%,Hyderabad,56,2012-07-20
1340,Soap,Personal Care,3,272.1,20%,Delhi,38,2012-10-16
1341,Bun,Bakery,2,470.1,0%,Hyderabad,38,2012-09-05
1342,Toilet Cleaner,Household,2,459.5,0%,Chennai,47,2012-07-06
1343,Juice,Beverages,4,211.09,15%,Kolkata,44,2012-06-09
1344,Popcorn,Snacks,3,354.0,20%,Chennai,49,2012-12-26
1345,Toilet Cleaner,Household,5,231.06,0%,Pune,46,2012-01-13
1346,Soap,Personal Care,2,399.45,15%,Mumbai,16,2012-06-13
1347,Juice,Beverages,4,103.46,0%,Delhi,10,2012-05-11
1348,Banana,Fruits & Vegetables,2,366.49,20%,Hyderabad,43,2012-09-27
1349,Apple,Fruits & Vegetables,4,79.41,0%,Delhi,34,2012-01-12
1350,Onion,Fruits & Vegetables,2,467.7,0%,Delhi,36,2012-02-11
1351,Cheese,Dairy,4,376.88,0%,Mumbai,28,2012-12-16
1352,Diapers,Baby Care,2,101.49,5%,Kolkata,15,2012-01-26
1353,Coca Cola,Beverages,4,186.63,15%,Ahmedabad,39,2012-08-21
1354,Croissant,Bakery,3,399.65,15%,Mumbai,34,2012-05-11
1355,Shampoo,Personal Care,2,326.22,15%,Mumbai,12,2012-09-15
1356,Onion,Fruits & Vegetables,1,366.95,5%,Mumbai,34,2012-12-28
1357,Toilet Cleaner,Household,2,107.57,10%,Pune,50,2012-05-18
1358,Onion,Fruits & Vegetables,3,265.35,10%,Kolkata,15,2012-08-22
1359,Milk,Dairy,3,256.8,20%,Delhi,48,2012-01-03
1360,Baby Lotion,Baby Care,5,80.62,20%,Pune,31,2012-08-01
1361,Apple,Fruits & Vegetables,3,337.05,20%,Mumbai,17,2012-05-21
1362,Shampoo,Personal Care,1,209.75,5%,Hyderabad,47,2012-08-21
1363,Banana,Fruits & Vegetables,2,261.26,20%,Ahmedabad,16,2012-11-17
